date,obs_cases_7d,vax observed,vax none,vax +20%,mobility observed,mobility baseline,mobility extra 20% cut
2021-11-04,31081.14285714286,1.5771123415183194e-11,0.0029048351300767807,2.0198385517181651e-13,1.5771123415183194e-11,1.3117993502675035e-07,4.8664069175426324e-14
2021-11-05,29711.14285714286,1.4078804448130303e-11,0.002828957137387226,1.7644160942141655e-13,1.4078804448130303e-11,1.1631740259061754e-07,4.3198868374354444e-14
2021-11-06,28902.285714285717,1.55568099309514e-11,0.003443181174876526,1.9051233161807495e-13,1.55568099309514e-11,1.031927770140803e-07,4.743088091106456e-14
2021-11-07,28314.14285714286,1.4449259791849977e-11,0.0035619215999133373,1.727144727617421e-13,1.4449259791849977e-11,9.163661465645055e-08,4.37420280902815e-14
2021-11-08,28096.285714285717,1.0036699538609832e-11,0.00272813325380036,1.173305481273867e-13,1.0036699538609832e-11,8.135659693823066e-08,3.019341908822023e-14
2021-11-09,28575.0,9.05938438413699e-12,0.002685649346511041,1.0368336025709934e-13,9.05938438413699e-12,7.215665453554574e-08,2.7100080672798202e-14
2021-11-10,29431.285714285717,8.089227316882165e-12,0.002617332016859097,9.062532083824326e-14,8.089227316882165e-12,6.398985392305319e-08,2.4062259477675837e-14
2021-11-11,30334.285714285717,7.2309620022521915e-12,0.002554036622259454,7.930998402748647e-14,7.2309620022521915e-12,5.675224718714213e-08,2.138862545197056e-14
2021-11-12,31324.571428571428,6.4049465993451276e-12,0.002469438065037848,6.878248563842379e-14,6.4049465993451276e-12,5.0331883168598066e-08,1.8840044701428438e-14
2021-11-13,32007.0,7.0884316968120694e-12,0.0030122423580805162,7.439902967461907e-14,7.0884316968120694e-12,4.464553362300533e-08,2.0719578142471008e-14
2021-11-14,32600.14285714286,6.580318269746619e-12,0.003117401210770361,6.741129702601036e-14,6.580318269746619e-12,3.963205258329171e-08,1.909943631749707e-14
2021-11-15,33505.71428571428,4.544614398751039e-12,0.00237505782470649,4.554450916122969e-14,4.544614398751039e-12,3.518060106824665e-08,1.3109126739718877e-14
2021-11-16,34073.857142857145,4.1136968008152446e-12,0.0023444954428925766,4.0391962849603055e-14,4.1136968008152446e-12,3.12106413836048e-08,1.1800185593421194e-14
2021-11-17,34483.42857142857,3.686973718863988e-12,0.002293769133273145,3.5465935019159114e-14,3.686973718863988e-12,2.7687690223317633e-08,1.0517413045336915e-14
2021-11-18,34969.0,3.2897010514241427e-12,0.002234734701362125,3.1000664644609365e-14,3.2897010514241427e-12,2.4562119975660174e-08,9.331936350950738e-15
2021-11-19,35232.857142857145,2.918430640690232e-12,0.0021643389685866827,2.6949432706510083e-14,2.918430640690232e-12,2.1791830505728277e-08,8.233093624944959e-15
2021-11-20,35591.42857142857,3.2106377385765175e-12,0.002624445233021943,2.899649090229873e-14,3.2106377385765175e-12,1.9334770589246967e-08,9.001159269271879e-15
2021-11-21,35900.28571428572,2.964355045094242e-12,0.0027004845129175083,2.614433389189593e-14,2.964355045094242e-12,1.71638651740371e-08,8.253345229136006e-15
2021-11-22,35956.28571428572,2.062629068152714e-12,0.002072026168547392,1.7808537177264805e-14,2.062629068152714e-12,1.523910159016549e-08,5.707668922606698e-15
2021-11-23,36293.28571428572,1.86379409756391e-12,0.00204141070796379,1.5778779681487914e-14,1.86379409756391e-12,1.3523911808835302e-08,5.129121910742609e-15
2021-11-24,36525.28571428572,1.667733291069864e-12,0.001993404883733814,1.3841335850487123e-14,1.667733291069864e-12,1.200020633284371e-08,4.564372013828426e-15
2021-11-25,36531.57142857143,1.4834755026458203e-12,0.001935290671673965,1.2069224794891518e-14,1.4834755026458203e-12,1.0647322394894449e-08,4.03780513699766e-15
2021-11-26,36600.42857142857,1.293139007953715e-12,0.001839411176148509,1.031622913077489e-14,1.293139007953715e-12,9.447058007761377e-09,3.500783160207763e-15
2021-11-27,36399.142857142855,1.4145897127045915e-12,0.002212702395068047,1.1045694656235074e-14,1.4145897127045915e-12,8.381523140820111e-09,3.806617019129445e-15
2021-11-28,36698.57142857143,1.3433591849362347e-12,0.0023393991860741507,1.0244367194588348e-14,1.3433591849362347e-12,7.437408141045513e-09,3.59050908937273e-15
2021-11-29,37422.857142857145,9.13092624281252e-13,0.0017525992145336672,6.816384635678939e-15,9.13092624281252e-13,6.60044673036965e-09,2.425884483691197e-15
2021-11-30,38368.142857142855,8.418174065497033e-13,0.001760576828394407,6.1623126845507414e-15,8.418174065497033e-13,5.855302014422982e-09,2.2244732571367546e-15
2021-12-01,39422.71428571428,7.496212959039728e-13,0.0017109478329374603,5.378726070072813e-15,7.496212959039728e-13,5.193340973762393e-09,1.970121808224971e-15
2021-12-02,40265.857142857145,6.689606088637438e-13,0.0016663484249184145,4.705251040115246e-15,6.689606088637438e-13,4.606355136003575e-09,1.7486131867720548e-15
2021-12-03,41059.57142857143,5.938367149324307e-13,0.001614296308098367,4.094757809616264e-15,5.938367149324307e-13,4.085656039156187e-09,1.5439044374673967e-15
2021-12-04,41762.42857142857,6.594799797641446e-13,0.0019769017115587044,4.446935715441999e-15,6.594799797641446e-13,3.6226642167605603e-09,1.704135805031252e-15
